run	final_round	accuracy	loss	json
main__homogeneous__vanilla__fedavg__noise-0.01__seed-45	20	0.959375	0.18579281428828837	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-45.json
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42	20	0.925	0.30436030998826025	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.json
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43	20	0.8984375	0.308837766200304	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.json
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-44	20	0.9125	0.3156677935272455	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-44.json
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-45	20	0.934375	0.23323795944452286	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-45.json
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42	20	0.9578125	0.24632993377745152	results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.json
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43	20	0.9375	0.3733043486252427	results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.json
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-44	20	0.934375	0.28801789730787275	results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-44.json
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-45	20	0.95625	0.2713696072343737	results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-45.json
main__homogeneous__vanilla__fedopt__noise-0.01__seed-42	20	0.359375	1.1029120802879333	results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.json
main__homogeneous__vanilla__fedopt__noise-0.01__seed-43	20	0.4953125	1.071137297153473	results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.json
main__homogeneous__vanilla__fedopt__noise-0.01__seed-44	20	0.359375	1.0733623921871185	results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-44.json
main__homogeneous__vanilla__fedopt__noise-0.01__seed-45	20	0.359375	1.1337204158306122	results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-45.json
main__homogeneous__vanilla__fedprox__noise-0.01__seed-42	20	0.540625	0.9606019735336304	results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.json
main__homogeneous__vanilla__fedprox__noise-0.01__seed-43	20	0.5328125	0.9261418014764786	results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.json
main__homogeneous__vanilla__fedprox__noise-0.01__seed-44	20	0.5078125	0.9785351395606995	results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-44.json
main__homogeneous__vanilla__fedprox__noise-0.01__seed-45	20	0.5046875	0.9701113432645798	results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-45.json
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42	20	0.953125	1.1325476241716885	results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.json
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43	20	0.9390625	0.4779103420863976	results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.json
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-44	20	0.9546875	0.6021389024099335	results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-44.json
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-45	20	0.9625	0.558505106859775	results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-45.json
