run	status	exit_code	duration_seconds	accuracy	loss	json	log
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43	PASS	0	345	0.7859375	0.5208857387304306	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43	PASS	0	228	0.91875	0.35135576240718364	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-43	PASS	0	238	0.359375	1.1851451575756073	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43	FAIL	1	104			/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-43	PASS	0	230	0.9390625	0.43286938095698135	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedavg__noise-0.01__seed-44	PASS	0	210	0.9546875	0.3653107556514442	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-44.log
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-44	PASS	0	220	0.9125	0.3156677935272455	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-44.log
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-44	PASS	0	217	0.934375	0.28801789730787275	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-44.log
main__homogeneous__vanilla__fedprox__noise-0.01__seed-44	PASS	0	229	0.5078125	0.9785351395606995	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-44.log
main__homogeneous__vanilla__fedopt__noise-0.01__seed-44	PASS	0	223	0.359375	1.0733623921871185	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-44.log
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-44	PASS	0	220	0.9546875	0.6021389024099335	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-44.log
main__homogeneous__global-dp__fedavg__noise-0.01__seed-44	PASS	0	218	0.9375	0.2306265017017722	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-44.log
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-44	PASS	0	227	0.7765625	0.5750907167792321	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-44.log
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-44	PASS	0	225	0.94375	0.2523373161442578	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-44.log
main__homogeneous__global-dp__fedprox__noise-0.01__seed-44	PASS	0	238	0.5328125	0.940448722243309	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-44.log
main__homogeneous__global-dp__fedopt__noise-0.01__seed-44	PASS	0	243	0.4953125	44.07766399383545	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-44.log
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-44	PASS	0	228	0.94375	0.5317413987941109	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-44.log
