run	status	exit_code	duration_seconds	accuracy	loss	macro_f1	macro_precision	macro_auc	run_json	evaluation_json	predictions	log	note
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43	PASS	0	159	0.9390625	0.6498394240130437	0.8913847066208522	0.876264449689532	0.9821898602828443	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedavg__noise-0.01__seed-43	PASS	0	172	0.9328125	0.2808603560552001	0.9451017791448433	0.9448843411074205	0.9857342584502125	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43	PASS	0	116	0.7796875	0.5190937951207161	0.5801317335127121	0.5704082823810778	0.9399660798293329	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43	PASS	0	112	0.9390625	0.2893626518547535	0.9507422402159245	0.9508606668473841	0.983689699999476	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedprox__noise-0.01__seed-43	PASS	0	124	0.5171875	0.9613679945468903	0.25778816199376947	0.2415843959961607	0.731525625211461	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedopt__noise-0.01__seed-43	PASS	0	127	0.4953125	1.074872225522995	0.16562173458725182	0.123828125	0.5	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43	PASS	0	132	0.928125	0.5383869368350134	0.8993952147300253	0.9528591307304135	0.9846649156315737	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43	PASS	0	116	0.94375	0.2650138320866972	0.9534979922925594	0.9538844482120221	0.9865409845915615	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43	PASS	0	120	0.784375	0.5171670600771904	0.5817669326189505	0.5823355557794078	0.9399844295842208	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43	PASS	0	126	0.934375	0.34676973591558635	0.9456899130982315	0.9474643658479981	0.9816659550832565	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43	FAIL	1	62						/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-43.log	training-failed
